file,C1,C1_violating_nodes,C2,C2_violating_nodes,C3,C3_violating_nodes,C4,C4_violating_nodes,C5,C5_violating_nodes,C6,C6_violating_nodes,error
1047.txt,True,,True,,True,,True,,False,10,True,,
289.txt,True,,True,,True,,True,,True,,True,,
510.txt,True,,True,,True,,True,,True,,True,,
921.txt,True,,True,,True,,True,,True,,True,,
29.txt,True,,True,,True,,True,,True,,True,,
855.txt,True,,True,,True,,False,18,True,,True,,
666.txt,True,,True,,True,,True,,True,,True,,
470.txt,True,,True,,True,,True,,True,,True,,
303.txt,True,,True,,True,,True,,True,,True,,
1132.txt,True,,True,,True,,True,,True,,True,,
883.txt,True,,True,,True,,True,,True,,True,,
129.txt,True,,True,,True,,True,,False,11,True,,
28.txt,True,,True,,True,,True,,True,,True,,
920.txt,True,,True,,True,,True,,True,,False,"7, 10, 14, 11",
539.txt,True,,True,,True,,True,,True,,False,"16, 15",
511.txt,True,,True,,True,,True,,True,,True,,
1085.txt,True,,False,,True,,True,,True,,False,"10, 8",
1046.txt,True,,True,,True,,True,,True,,True,,
1052.txt,True,,True,,True,,True,,False,15,True,,
842.txt,True,,True,,True,,True,,True,,True,,
856.txt,True,,True,,True,,True,,True,,True,,
103.txt,True,,True,,True,,True,,True,,True,,
117.txt,True,,True,,True,,True,,True,,True,,
1130.txt,True,,True,,True,,True,,True,,True,,
499.txt,True,,True,,True,,True,,True,,True,,
102.txt,True,,True,,True,,True,,True,,True,,
857.txt,True,,True,,True,,True,,True,,True,,
17.txt,True,,True,,True,,True,,True,,True,,
274.txt,True,,True,,True,,True,,True,,True,,
258.txt,True,,True,,True,,True,,True,,True,,
516.txt,True,,True,,True,,True,,True,,True,,
933.txt,True,,True,,True,,True,,True,,True,,
853.txt,True,,True,,True,,True,,True,,True,,
884.txt,True,,True,,True,,True,,True,,True,,
1121.txt,True,,True,,True,,True,,True,,True,,
304.txt,True,,True,,True,,True,,True,,True,,
311.txt,True,,True,,True,,True,,True,,True,,
1120.txt,True,,True,,True,,True,,True,,True,,
1134.txt,True,,True,,True,,True,,False,7,True,,
661.txt,True,,True,,True,,True,,True,,True,,
649.txt,True,,True,,True,,True,,True,,True,,
852.txt,True,,True,,True,,True,,False,4,True,,
1097.txt,True,,True,,True,,True,,True,,True,,
267.txt,True,,True,,True,,True,,True,,True,,
1081.txt,True,,True,,True,,True,,True,,True,,
515.txt,True,,True,,True,,True,,True,,True,,
924.txt,True,,True,,True,,True,,True,,True,,
930.txt,True,,True,,True,,True,,True,,True,,
139.txt,True,,True,,True,,True,,True,,True,,
111.txt,True,,True,,True,,True,,True,,True,,
474.txt,True,,True,,True,,True,,True,,True,,
1123.txt,True,,True,,True,,True,,True,,True,,
