## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"start processing incoming orders","start","","","",""
2,"order received?","condition","1","yes/no","",""
3,"send collected order list","entity","2","","",""
4,"implement order list in database","entity","3","","",""
5,"gather all information in one excel file","entity","4","","",""
6,"check order and customer details","entity","5","","",""
7,"permit data selected?","condition","6","permit/not permit","",""
8,"permit data","entity","7","","",""
9,"not permit data","entity","7","","",""
10,"release data if permitted","entity","8","","",""
11,"contact selling agency if not permitted","entity","9","","",""
12,"check worth of orders","entity","11","","",""
13,"orders to be released?","condition","12","release/cancel","",""
14,"end process","end","13","","",""
15,"value less than 5000?","condition","13","less than 5000/not less than 5000","",""
16,"continue process","entity","15,5000","","",""
17,"order signed off by board of directors","entity","15,5000","","",""
18,"collect order and start production","entity","16","","",""
19,"collect order and start production","entity","17","","",""
20,"send memorandum and invoice","entity","18","","",""
21,"send memorandum and invoice","entity","19","","",""
22,"check quality of production","entity","20","","",""
23,"send quality report","entity","22","","",""
24,"send memorandum and collect goods","entity","18","","",""
25,"send memorandum and collect goods","entity","19","","",""
26,"sign off memo","entity","24","","",""
27,"sign off memo","entity","25","","",""
28,"pick goods","entity","26","","",""
29,"pick goods","entity","27","","",""
30,"send goods","entity","28","","",""
31,"send goods","entity","29","","",""
32,"process completed","end","30","","",""
33,"process completed","end","31","","",""
34,"end process","end","2","","",""
